Ping size: 0
PING 88.80.187.84 (88.80.187.84) 0(28) bytes of data.
[1621803425.077536] 40 bytes from 88.80.187.84: icmp_seq=4 ttl=51 time=32.7 ms
[1621803426.079273] 40 bytes from 88.80.187.84: icmp_seq=5 ttl=51 time=32.5 ms
[1621803427.081308] 40 bytes from 88.80.187.84: icmp_seq=6 ttl=51 time=32.8 ms
[1621803428.083140] 40 bytes from 88.80.187.84: icmp_seq=7 ttl=51 time=32.6 ms
[1621803429.084779] 40 bytes from 88.80.187.84: icmp_seq=8 ttl=51 time=32.4 ms
[1621803430.087486] 40 bytes from 88.80.187.84: icmp_seq=9 ttl=51 time=33.4 ms
[1621803431.087541] 40 bytes from 88.80.187.84: icmp_seq=10 ttl=51 time=31.8 ms
[1621803432.091803] 40 bytes from 88.80.187.84: icmp_seq=11 ttl=51 time=34.0 ms
[1621803433.091964] 40 bytes from 88.80.187.84: icmp_seq=12 ttl=51 time=32.9 ms
[1621803434.093512] 40 bytes from 88.80.187.84: icmp_seq=13 ttl=51 time=33.3 ms
[1621803435.094367] 40 bytes from 88.80.187.84: icmp_seq=14 ttl=51 time=32.6 ms
[1621803436.096306] 40 bytes from 88.80.187.84: icmp_seq=15 ttl=51 time=32.7 ms
[1621803437.098151] 40 bytes from 88.80.187.84: icmp_seq=16 ttl=51 time=32.6 ms
[1621803438.100051] 40 bytes from 88.80.187.84: icmp_seq=17 ttl=51 time=33.2 ms
[1621803439.101364] 40 bytes from 88.80.187.84: icmp_seq=18 ttl=51 time=33.1 ms
[1621803440.103082] 40 bytes from 88.80.187.84: icmp_seq=19 ttl=51 time=33.4 ms
[1621803441.104370] 40 bytes from 88.80.187.84: icmp_seq=20 ttl=51 time=33.0 ms
[1621803442.105443] 40 bytes from 88.80.187.84: icmp_seq=21 ttl=51 time=32.8 ms
[1621803443.107475] 40 bytes from 88.80.187.84: icmp_seq=22 ttl=51 time=33.8 ms
[1621803444.108692] 40 bytes from 88.80.187.84: icmp_seq=23 ttl=51 time=33.0 ms
[1621803445.109870] 40 bytes from 88.80.187.84: icmp_seq=24 ttl=51 time=33.0 ms
[1621803446.110944] 40 bytes from 88.80.187.84: icmp_seq=25 ttl=51 time=32.9 ms
[1621803447.112993] 40 bytes from 88.80.187.84: icmp_seq=26 ttl=51 time=33.8 ms
[1621803448.113799] 40 bytes from 88.80.187.84: icmp_seq=27 ttl=51 time=32.6 ms
[1621803449.115604] 40 bytes from 88.80.187.84: icmp_seq=28 ttl=51 time=32.6 ms
[1621803450.117982] 40 bytes from 88.80.187.84: icmp_seq=29 ttl=51 time=33.1 ms
[1621803451.118452] 40 bytes from 88.80.187.84: icmp_seq=30 ttl=51 time=32.2 ms
[1621803452.120423] 40 bytes from 88.80.187.84: icmp_seq=31 ttl=51 time=32.7 ms
[1621803453.122133] 40 bytes from 88.80.187.84: icmp_seq=32 ttl=51 time=32.5 ms
[1621803454.123815] 40 bytes from 88.80.187.84: icmp_seq=33 ttl=51 time=32.4 ms
[1621803455.126164] 40 bytes from 88.80.187.84: icmp_seq=34 ttl=51 time=33.1 ms
[1621803456.126678] 40 bytes from 88.80.187.84: icmp_seq=35 ttl=51 time=32.3 ms
[1621803457.128807] 40 bytes from 88.80.187.84: icmp_seq=36 ttl=51 time=32.9 ms
[1621803458.129904] 40 bytes from 88.80.187.84: icmp_seq=37 ttl=51 time=32.9 ms
[1621803459.130505] 40 bytes from 88.80.187.84: icmp_seq=38 ttl=51 time=32.4 ms
[1621803460.132923] 40 bytes from 88.80.187.84: icmp_seq=39 ttl=51 time=33.1 ms
[1621803461.133262] 40 bytes from 88.80.187.84: icmp_seq=40 ttl=51 time=32.1 ms
[1621803462.135196] 40 bytes from 88.80.187.84: icmp_seq=41 ttl=51 time=32.7 ms
[1621803463.137469] 40 bytes from 88.80.187.84: icmp_seq=42 ttl=51 time=33.0 ms
[1621803464.138182] 40 bytes from 88.80.187.84: icmp_seq=43 ttl=51 time=32.5 ms
[1621803465.140890] 40 bytes from 88.80.187.84: icmp_seq=44 ttl=51 time=33.5 ms
[1621803466.141966] 40 bytes from 88.80.187.84: icmp_seq=45 ttl=51 time=32.8 ms
[1621803467.142971] 40 bytes from 88.80.187.84: icmp_seq=46 ttl=51 time=32.8 ms
[1621803468.145532] 40 bytes from 88.80.187.84: icmp_seq=47 ttl=51 time=33.3 ms
[1621803469.146533] 40 bytes from 88.80.187.84: icmp_seq=48 ttl=51 time=32.7 ms
[1621803470.148848] 40 bytes from 88.80.187.84: icmp_seq=49 ttl=51 time=33.1 ms
[1621803471.149660] 40 bytes from 88.80.187.84: icmp_seq=50 ttl=51 time=32.5 ms
[1621803472.151575] 40 bytes from 88.80.187.84: icmp_seq=51 ttl=51 time=32.7 ms
[1621803473.153588] 40 bytes from 88.80.187.84: icmp_seq=52 ttl=51 time=32.8 ms
[1621803474.155340] 40 bytes from 88.80.187.84: icmp_seq=53 ttl=51 time=32.5 ms
[1621803475.157029] 40 bytes from 88.80.187.84: icmp_seq=54 ttl=51 time=32.4 ms
[1621803476.158541] 40 bytes from 88.80.187.84: icmp_seq=55 ttl=51 time=32.3 ms
[1621803477.160878] 40 bytes from 88.80.187.84: icmp_seq=56 ttl=51 time=33.1 ms
[1621803478.161774] 40 bytes from 88.80.187.84: icmp_seq=57 ttl=51 time=32.7 ms
[1621803479.163788] 40 bytes from 88.80.187.84: icmp_seq=58 ttl=51 time=32.8 ms
[1621803480.165788] 40 bytes from 88.80.187.84: icmp_seq=59 ttl=51 time=32.8 ms
[1621803481.167378] 40 bytes from 88.80.187.84: icmp_seq=60 ttl=51 time=32.3 ms
[1621803482.169470] 40 bytes from 88.80.187.84: icmp_seq=61 ttl=51 time=32.9 ms
[1621803483.170978] 40 bytes from 88.80.187.84: icmp_seq=62 ttl=51 time=33.3 ms
[1621803484.172369] 40 bytes from 88.80.187.84: icmp_seq=63 ttl=51 time=33.2 ms
[1621803485.173068] 40 bytes from 88.80.187.84: icmp_seq=64 ttl=51 time=32.4 ms
[1621803486.174858] 40 bytes from 88.80.187.84: icmp_seq=65 ttl=51 time=32.5 ms
[1621803487.177063] 40 bytes from 88.80.187.84: icmp_seq=66 ttl=51 time=33.0 ms
[1621803488.177618] 40 bytes from 88.80.187.84: icmp_seq=67 ttl=51 time=32.3 ms
[1621803489.180105] 40 bytes from 88.80.187.84: icmp_seq=68 ttl=51 time=33.2 ms
[1621803490.181352] 40 bytes from 88.80.187.84: icmp_seq=69 ttl=51 time=33.0 ms
[1621803491.181971] 40 bytes from 88.80.187.84: icmp_seq=70 ttl=51 time=32.3 ms
[1621803492.183858] 40 bytes from 88.80.187.84: icmp_seq=71 ttl=51 time=32.6 ms
[1621803493.186114] 40 bytes from 88.80.187.84: icmp_seq=72 ttl=51 time=33.0 ms
[1621803494.186407] 40 bytes from 88.80.187.84: icmp_seq=73 ttl=51 time=32.1 ms
[1621803495.189133] 40 bytes from 88.80.187.84: icmp_seq=74 ttl=51 time=33.5 ms
[1621803496.189672] 40 bytes from 88.80.187.84: icmp_seq=75 ttl=51 time=32.3 ms
[1621803497.191118] 40 bytes from 88.80.187.84: icmp_seq=76 ttl=51 time=32.2 ms
[1621803498.192886] 40 bytes from 88.80.187.84: icmp_seq=77 ttl=51 time=32.5 ms
[1621803499.195444] 40 bytes from 88.80.187.84: icmp_seq=78 ttl=51 time=33.3 ms
[1621803500.196145] 40 bytes from 88.80.187.84: icmp_seq=79 ttl=51 time=32.5 ms
[1621803501.197465] 40 bytes from 88.80.187.84: icmp_seq=80 ttl=51 time=32.1 ms
